Classification,Summary
Add issue,The documentation comment for getVariable/getParamVariable is inaccurate.
Add issue,The documentation comment for the getVariable/getParamVariable is inaccurate.
Add issue,The documentation comment for getVariable/getParamVariable is inaccurate.
Add issue,"""Improper documentation comment for the functions getVariable/getParamVariable"""
Add issue,The error reporting for the command 'svn status' needs to be improved.
Add issue,"""Improved error reporting is required for the 'svn status' command."""
Add issue,The 'svn status' command requires improved error notification.
Add issue,It is necessary for 'svn status' to have improved error notification.
Add issue,Multi-language assistance when converting xml to pdf.
Add issue,Adjusting XML documents to PDF format with assistance for multiple languages.
Add issue,Assistance for multiple languages in the conversion of xml to pdf.
Add issue,Assistance for multiple languages in the conversion of xml to pdf.
Add issue,Velocity needs to offer a means to access properties directly through an interface.
Add issue,Velocity needs to offer a means for explicitly retrieving properties through a designated interface.
Add issue,Velocity needs to offer a means of accessing properties directly through an interface.
Add issue,The interface of Velocity needs to allow for the retrieval of specific properties.
Add issue,Convert svn-ref.tex into French.
Add issue,Convert svn-ref.tex into French.
Add issue,Convert svn-ref.tex into French language.
Add issue,'Render svn-ref.tex in French'
Add issue,Improved options for personalizing the schedule element.
Add issue,improved customization options for the schedule element
Add issue,Improved options for personalization in the schedule feature
Add issue,improved customization options for the schedule feature
Add issue,Apache 2.2 is currently not supported.
Add issue,Apache 2.2 is not currently supported.
Add issue,Apache 2.2 is currently not supported.
Add issue,Apache 2.2 is not currently supported.
Add issue,'compile tips for avoiding common JUnit errors'
Add issue,'Beware of JUnit traps'
Add issue,"""Outline potential issues with using JUnit"""
Add issue,"Very important topics to keep in mind when using JUnit

Cautionary points to consider while utilizing JUnit."
Add issue,'Maximum buffer size for HTTP header must be raised to 64k from its current limit of 16k.'
Add issue,'Requirement to raise the upper limit of buffer size for HTTP header from 16k to 64k.'
Add issue,There is a requirement to raise the maximum capacity of the HTTP header buffer from 16k to 64k.
Add issue,It is necessary to raise the upper limit for the HTTP header buffer size from 16k to 64k.
Add issue,Include error messages in the rasterizer.
Add issue,Include print statements for errors in the rasterizer.
Add issue,Include error messages in the rasterizer.
Add issue,Include error message displays in rasterization.
Add issue,Require the capability to alter the designated port number for HTTP.
Add issue,Require the capability to modify the port number for HTTP.
Add issue,Require the capability to modify the port number used for HTTP.
Add issue,'Require the capacity to modify the port number used for HTTP.'
Add issue,The parameter support/property BugRat Report#350 is required by RMIC for debugging purposes.
Add issue,It is necessary for RMIC to have support for debug generation parameters/property in order to fix BugRat Report#350.
Add issue,The support/property BugRat Report#350 is required for the generation of debugging parameters for RMIC.
Add issue,RMIC requires parameter support for generating debug information for property BugRat Report number 350.
Add issue,"Require the capability to establish a ""plan"" for SSL offloading."
Add issue,"Require the capability to establish a ""plan"" for SSL offloading."
Add issue,"Requirement to have the capability of configuring the ""scheme"" for SSL offloading."
Add issue,"Require the capability to establish a ""scheme"" for SSL offloading."
Add issue,Change the exceptions from fop 0.95 to 1.0.
Add issue,Update the differences in fop 0.95 to 1.0.
Add issue,Update exemptions from fop 0.95 to 1.0.
Add issue,"""Enhance the exclusions process from fop version 0.95 to 1.0"""
Add issue,Metrics are necessary for Type 1 fonts in order to accurately display accentuated characters.
Add issue,Metrics required for Type 1 fonts to include emphasized characters
Add issue,Accented characters require metrics when using Type 1 fonts.
Add issue,Metrics are necessary for Type 1 fonts in order to include emphasized characters.
Add issue,The compliance page requires updating.
Add issue,The conformity page requires updating.
Add issue,The compliance page requires updating.
Add issue,The compliance page requires updating.
Add issue,Include management of the ZoomAndPan property.
Add issue,Include the capability to manage the ZoomAndPan property
Add issue,Include functionality for the ZoomAndPan setting.
Add issue,Include implementation for the ZoomAndPan parameter.
Add issue,Implement overflow functionality for clip-path.
Add issue,Include the ability to handle overflow when using clip-path.
Add issue,Include the ability to handle overflow in clip-path feature.
Add issue,Provide assistance for overflow on clip-path.
Add issue,[UPDATE] A software tool for examining code and tracking its coverage
