Priority,Short Description
P3,Include Afrikaans in the list of shipped languages.
P3,Include Afrikaans in the language options available for shipping.
P3,There are no icons displayed in the address book search results in the Pinstripe theme.
P3,Icons are not present in the search results of the address book in Pinstripe.
P3,'Executing doHelpButton() does not provide assistance.'
P3,The invocation of doHelpButton() does not provide assistance.
P3,The buttons on the Certificates tab in Thunderbird Preferences appear to wrap in an unusual manner.
P3,The buttons in Thunderbird Preferences/Certificates tab appear to wrap in an unusual manner.
P3,Using ctrl+w on OS X does not shut down the About and Preferences windows.
P3,Using the shortcut cmd+w does not close the About and Preferences windows on OS X.
P3,Eliminate any Pinstripe segments that are not being utilized.
P3,Dispose of any Pinstripe pieces that are not being utilized.
P3,Transfer all unofficial and nightly branding elements from Thunderbird to the directory mail/branding/nightly.
P3,Relocate all branding materials for Thunderbird's unofficial/nightly versions to the mail/branding/nightly folder.
P3,Implement the necessary solution for issue #341697 (related to branding wizards) in the Thunderbird platform.
P3,:>Apply the fix that addresses bug #341697 (related to branding wizards) to Thunderbird.
P3,Get rid of remaining 3pane layout preferences.
P3,Discard any remnants of the 3pane layout preference.
P3,The Thunderbird connection settings dialogue box should utilize number-type text boxes.
P3,"The Thunderbird connection settings dialogue should utilize ""number"" type text boxes."
P4,Eliminate any remaining traces of the mail-biff-badge vestiges.
P4,Eradicate remnants of the mail-biff-badge vestiges.
P4,Remove any remaining traces of the mail-biff-badge vestiges.
P4,Take away any remaining traces of the mail-biff-badge vestiges.
P4,Get rid of any remaining mail notification symbols.
P4,Eradicate remnants of the mail-biff-badge vestiges.
P3,"The account wizard is lacking access keys for Gmail, RSS News & Blogs, and Movemail accounts."
P3,"The access codes for Gmail, RSS news and blogs, and Movemail accounts are not included in the account setup process."
P3,"The ""next"" shortcut in the account setup for News, Server information panel is not functioning."
P3,"""The ""next"" option on the News account setup, in the Server information panel, fails to function as expected."""
P3,Enhanced options for attachment settings panel.
P3,enhanced options in the attachment settings page
P3,The user-agent used for messages does not conform to the branding category (Official/Unofficial).
P3,The messaging user-agent does not adhere to any specific branding category (Official or Unofficial).
P3,Take out remaining elements of two outdated |mail.collect_email_address_| options.
P3,Erase any remaining traces of outdated |mail.collect_email_address_| options.
P3,The application update checks for Thunderbird 3 builds are still utilizing the version 1 URL.
P3,The update checks for application of Thunderbird 3 builds are still utilizing the original url from version 1.
P5,Revamped message display window (viewer) panel
P5,Enhanced display for viewing messages
P5,Enhanced preview panel for viewing messages.
P5,Enhanced display area for viewing messages.
P5,Enhanced viewing panel for messages.
P5,enhanced display (perspective) viewing panel
P5,Enhanced display window for messages (views).
P5,Enhanced message (view) preview panel
P5,Enhanced message display (view) window.
P5,Enhanced message preview panel
P5,Enhanced display panel for reading messages.
P5,Enhanced display of message (view) in reader panel
P5,Enhanced viewing pane for messages
P5,enhanced message (view) viewer panel
P5,enhanced display area for viewing messages
P5,enhanced display of message (view) reader panel
P5,Enhanced display window for messages
P5,Enhanced viewing panel for messages.
P5,Enhanced message display panel
P5,Enhanced viewer panel for messages (views)
P3,Repurpose the recently added popup widget for the address book on the preference pane of Thunderbird.
P3,Utilise the recently introduced popup widget for the address book in Thunderbird's preference panel.
P3,The 3-pane-window-tab should not have the appearance of being able to be closed since it is not.
P3,"The 3-pane-window-tab must not seem to be able to close, as it is not meant to be closed."
P3,Infrequent threading glitch causes loss of messages.
P3,Periodic issue with threading causing messages to be lost.
P4,"""Eliminate user interface option for 'Remember the last chosen message' (mailnews.remember_selected_message)"""
P4,"Eliminate user interface for ""Save previously chosen message"" (mailnews.remember_selected_message)."
P4,Delete the user interface for the feature 'Remember the last selected message' (mailnews.remember_selected_message).
P4,"Delete the user interface related to ""Remember the last chosen message"" (mailnews.remember_selected_message)."
P4,"Eliminate user interface for ""Remembering the previously selected message"" (option listed as mailnews.remember_selected_message)"
P4,"Delete the user interface for the option to ""Remember the last chosen message"" (mailnews.remember_selected_message)."
P4,The background-image feature is not functioning in user stylesheets that are not compatible with Chrome within Thunderbird.
P4,The use of background images is not functional in non-Chrome user stylesheets when using Thunderbird.
P4,The background image appears to be malfunctioning on non-Chrome user stylesheets when using Thunderbird.
P4,The background image is not functional in user stylesheets for non-Chrome browsers when using Thunderbird.
P4,The background image does not function in user stylesheets on Thunderbird if it is not Chrome.
P4,The background image is not functional in user stylesheets outside of Google Chrome when used in Thunderbird.
P3,Enable the functionality of 'about:cache' in Thunderbird.
P3,Enable the functionality of about:cache in thunderbird.
P3,"Execute a filtering process on a specific folder - unable to locate the ""select this folder"" feature, incapable of running on folders containing subfolders."
P3,"Use a filter to scan a folder - the option to select this specific folder is not available, unable to scan folders that contain nested subfolders."
P4,The preview panel must be present in order for the tabs to be displayed.
P4,"In order for tabs to display correctly, the preview pane needs to be visible."
P4,The tabs will only render if the preview pane is visible.
P4,"To display the tabs, the preview pane needs to be visible."
P4,"In order for the tabs to display, the preview pane needs to be in view."
P4,The preview panel needs to be visible in order for the tabs to display.
P3,"By default, emails containing numerous addresses in the To: field should only display the first N addresses instead of just one address with the label ""more""."
P3,"By default, emails with numerous addresses in the To: field should display only the first N addresses, rather than showing just one address with a ""more"" label."
P3,The thread pane may occasionally fail to align with the selected tab.
P3,"Occasionally, the thread pane does not correspond to the selected tab."
P3,Move the Mac About dialog to a more suitable location instead of the default 0:0 position.
P3,Move the Mac About dialog to a more suitable location than 0:0.
P3,'message receiver: adhere to the default font and color system settings'
P3,'messagereader: acknowledge preset font and color settings'
