Priority,Short Description,Subdirectory,Report ID
P1,Assertions from inline spellchecker when closing mail window,Thunderbird,329672
P1,Mail composition : address autocompletion broken,Thunderbird,338658
P1,Thunderbird - Chinese/Japanese/Korean installer's UI looks ugly,Thunderbird,351644
P1,Version/config bumps for Tb 2004,Thunderbird,382823
P1,Version/config bumps for Tb 2005,Thunderbird,388103
P1,Version/config bumps for Tb 150thirteen,Thunderbird,388717
P1,Version/config bumps for Tb 2.0.0.6,Thunderbird,389915
P1,Thunderbird 2.0.0.6 rc1 candidates have the wrong ProductID,Thunderbird,389975
P1,Build ID mismatch on Thunderbird MU snippets,Thunderbird,391785
P1,TB 2.0.0.9 Windows Installer Says it's Firefox,Thunderbird,403670
P3,add afrikaans to shipped-locales,Thunderbird,416183
P3,No icons in addressbook search results in Pinstripe,Thunderbird,441476
P3,doHelpButton() doesn't help,Thunderbird,441480
P2,Filter dialog calls window.close() in onclose handler,Thunderbird,437182
P2,"use ""number"" type for textboxes in options dialog",Thunderbird,376975
P3,Thunderbird Preferences/Certificates tab buttons wrap strangely,Thunderbird,422723
P2,"Drop down arrow for ""To/CC/BCC/.."" too close to the edge, widget doesn't show focus",Thunderbird,433107
P2,[TB3a1] memory leak on account setting dialog box.,Thunderbird,365623
P2,[TB3a1] memory leak after closing message window,Thunderbird,365723
P2,User certificates are not retrieved if Address Autocompletion for LDAP is (globally) disabled,Thunderbird,392016
P2,Enable Unit Tests on a Thunderbird trunk tinderbox,Thunderbird,406227
P2,Various Cookie tests fail when running against Thunderbird,Thunderbird,431125
P2,xpcshell test test_nsIDownloadHistory.js fails on Thunderbird,Thunderbird,431130
P2,###!!! ASSERTION: XPConnect is being called on a scope without a 'Components' property! (Thunderbird mail windows),Thunderbird,438927
P2,Update Thunderbird installer with changes made to the Firefox installer,Thunderbird,404609
P3,cmd+w doesn't close About window and Preferences window on OS X,Thunderbird,335044
P1,Spellcheck gives up after too few misspelled words in HTML editor,Thunderbird,429118
P3,Clean up some unused Pinstripe bits,Thunderbird,442523
P3,Move all of Thunderbird's unofficial/nightly branding items into mail/branding/nightly,Thunderbird,443351
P3,port fix for bug #341697 (branding wizards) to tbird,Thunderbird,345468
P1,Thunderbird Nightlies/RCs/Beta builds should have different branding to full releases like Firefox,Thunderbird,397621
P3,Remove 3pane layout preference leftovers,Thunderbird,443671
P3,"thunderbird connection settings dialog should make use of type=""number""  textboxes",Thunderbird,443846
P4,Remove mail-biff-badge vestiges,Thunderbird,443539
P3,"missing access keys for Gmail, RSS News & Blogs, and Movemail account types in the account wizard",Thunderbird,369159
P3,"""next"" shortcut in account setup for News, Server information panel doesn't work",Thunderbird,443908
P3,improved attachment preferences pane,Thunderbird,446291
P3,User-agent for messages doesn't follow branding type (Official/Unofficial),Thunderbird,446367
P3,Remove remnants of 2 obsolete |mail.collect_email_address_| preferences,Thunderbird,445891
P3,Thunderbird 3 builds still using version 1 url for application update checks,Thunderbird,448339
P1,investigate turning on offline imap by default,Thunderbird,385502
P1,Implement New/Edit Card inline features for message header display,Thunderbird,450724
P1,Get Thunderbird L10N builds working on comm-central,Thunderbird,449202
P5,improved message (view) reader pane,Thunderbird,449691
P2,"""Show only display name"" does only work for personal address book",Thunderbird,381555
P3,Re-use the new address book popup widget on Thunderbird's preference pane,Thunderbird,451381
P3,"3-pane-window-tab shouldn't appear to be closible, since it's not",Thunderbird,395388
P1,Filter dialog fails to list newsgroups,Thunderbird,441666
P1,mail lost when moving from local to remote folder in offline mode,Thunderbird,364082
P1,Paste/Copy/Cut not working from menus when composing message,Thunderbird,448326
P2,Not all Message header fields are focusable by <tab> (Keyboard accessability),Thunderbird,364376
P2,STARTTLS is called TLS in user preferences (remaining IMAP/POP3 case),Thunderbird,350314
P1,Consider turning on disk cache for TB,Thunderbird,450456
P2,modify rebuild index to not lose tags,Thunderbird,392704
P2,Add preferences UI for disk cache size and clearing the cache,Thunderbird,451599
P3,"occasional threading bug ""eats"" messages",Thunderbird,441677
P1,all keywords/tags of a mail will be deleted if I cut off (not delete) attachments,Thunderbird,440366
P1,Replace Mozilla Corporation references with Mozilla Messaging,Thunderbird,433567
P1,[Win] enable jemalloc on thunderbird trunk,Thunderbird,427627
P1,"The link ""click'here' to get the rest of truncated mail"" is not working. (when truncated POP3 mail is moved/copied to other account's folder, including ""Global Inbox"" case)",Thunderbird,450649
P2,deal with bugmail threading and change default for mail.thread_without_re,Thunderbird,449821
P1,Attachments not exposed via MSAA in Thunderbird 3,Thunderbird,377836
P4,"Remove UI for ""Remember the last selected message"" (mailnews.remember_selected_message)",Thunderbird,448694
P4,background-image not working in non-chrome user stylesheets in thunderbird,Thunderbird,429817
P2,"Account setting ""OK"" button not saving data (due to junk settings).",Thunderbird,368617
P2,Some random messages not showing in Inbox IMAP folder.,Thunderbird,379039
P1,search centric toolbar with download and write button,Thunderbird,452281
P3,make about:cache work in thunderbird,Thunderbird,451987
P1,No breakpad reports since comm-central move,Thunderbird,450519
P2,keep IMAP folders up-to-date using the STATUS command,Thunderbird,428266
P2,"""Help | Shredder Help"" doesn't redirect to a help site of the applications locale",Thunderbird,450038
P2,STEEL 0.1,Thunderbird,408370
P1,Start page for Alpha/Beta builds,Thunderbird,430762
P3,"run a message filter on a folder - ""choose this folder"" option missing, can't run on folders with subfolders",Thunderbird,437056
P2,Accessibility: Give header email labels (From/To/CC) ARIA label properties in message reading window/pane.,Thunderbird,449560
P1,"Crash [@ nsImapService::MessageURIToMsgHdr(char const*, nsIMsgDBHdr**) ][@ nsImapService::CreateStartOfImapUrl]",Thunderbird,454061
P1,"Forwarding e-mail no longer works in nightlies if set to forward ""inline""",Thunderbird,454848
P1,"Unable to change SSL state, or server settings in new profiles",Thunderbird,454549
P1,Polish changes to message reader for b1,Thunderbird,455801
P4,Preview pane must be visible for tabs to render.,Thunderbird,429440
P1,New/Edit Card tooltip not resetting in Header bar display,Thunderbird,456863
P3,"emails with lots of addresses in the To: field should only show first N by default, not just one address + ""more"" designation",Thunderbird,456596
P2,attachment presentation in received messages needs improvement,Thunderbird,436555
P1,"copy sent mail into sent-mail folder failed [imap, offline folder disabled]",Thunderbird,396874
P3,thread pane sometimes doesn't match focused tab,Thunderbird,392330
P2,"migrate and import everything from outlook express crashes [@ msvcr80.dll@0x14580 - nsCSSScanner::NextURL(unsigned int&, nsCSSToken&)]",Thunderbird,419597
P2,Headers take up too much space in new arrangement,Thunderbird,456168
P2,Crash [@ objc_msgSend] removing Junk button from toolbar,Thunderbird,455098
P3,Position Mac About dialog somewhere better than 0:0,Thunderbird,458655
P3,messagereader: honor font & color system defaults,Thunderbird,456829
P4,Reallocate accesskeys in prefpanes with tabs now that they're independent,Thunderbird,453256
P3,Small buttons in Mac account manager break number textbox spinbuttons,Thunderbird,461096
P2,Unable to open a message in a tab when using the vertical layout,Thunderbird,389735
P3,Restoring default start page blanks textbox on Windows,Thunderbird,460781
P1,Context menu for selected text in content shows all items,Thunderbird,463003
P2,Add mac native tabs as in Fx3,Thunderbird,462952
P2,Shredder Import dialog is blank instead of showing import results as with Thunderbird 2.0.0.x,Thunderbird,463971
P2,Remove EULA from Thunderbird installer / .dmg and related bits,Thunderbird,463367
P1,'Restart Shredder' fails after update notice due to shutdown problem with Gloda turned on,Thunderbird,465601
P2,"show ""Save All"", ""Detach All"", ""Delete All"" context menu items when one or more attachments are selected, like in Thunderbird 2",Thunderbird,466060
P1,"""Rebuild Index"" feature creating corrupted .msf index files",Thunderbird,471307
P3,tweak entity names so that all locales pick up the removal of ellipsis from reply & forward,Thunderbird,466397
P3,Attachment panel in message reader is not focusable / accessible with the keyboard (needs [TAB] stop),Thunderbird,373996
P4,Drop down arrow missing for IMAP folders,Thunderbird,432857
