Bug-ID ,Project ,Classification,Summary,Link,Enviroment ,
XALANC-11,XalanC,Add issue,Documentation comment for getVariable/getParamVariable incorrect,https://issues.apache.org/jira/browse/XALANC-11?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,123
SVN-491,Subversion,Add issue,svn status' needs better error reporting,https://issues.apache.org/jira/browse/SVN-491?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
FOP-57,FOP,Add issue,Multolingual support in converting xml - pdf,https://issues.apache.org/jira/browse/FOP-57?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
VELOCITY-31,Velocity,Add issue,Velocity should provide an interface for explicit property retreival,https://issues.apache.org/jira/browse/VELOCITY-31?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
SVN-2196,Subversion,Add issue,Translate svn-ref.tex to French,https://issues.apache.org/jira/browse/SVN-2196?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
TOMAHAWK-363,My Face Tomahawk,Add issue,better customisation features for schedule component,https://issues.apache.org/jira/browse/TOMAHAWK-363?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
MODPYTHON-78,mod_python,Add issue,No support for Apache 2.2 yet,https://issues.apache.org/jira/browse/MODPYTHON-78?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
AXIS-567,Axis,Add issue,document JUnit pitfalls,https://issues.apache.org/jira/browse/AXIS-567?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE,
42003,Tomcat Connectors,Add issue,"Need to increase the maximum buffer size for HTTP header from 16k to 64k,",42003,APACHE,
565,Batik - Now in Jira,Add issue,Add error printouts to rasterizer,565,APACHE,
1204,JMeter,Add issue,"Need the ability to change the port number for HTTP,",1204,APACHE,
224,Ant,Add issue,RMIC needs debug generation parameter support/property BugRat Report#350,224,APACHE,
33398,"Apache httpd-1,3",Add issue,"Need to be able to set ""scheme"" for SSL offloading",33398,APACHE,
49681,Fop - Now in Jira,Add issue,"Upgrade Exceptions from fop 0,95 to 1,o",49681,APACHE,
48512,Fop - Now in Jira,Add issue,Metrics needed with Type 1 fonts to have accentuated chars,48512,APACHE,
46565,Fop - Now in Jira,Add issue,Compliance page needs to be updated,46565,APACHE,
824,Batik - Now in Jira,Add issue,Add handling of the ZoomAndPan attribute,824,APACHE,
566,Batik - Now in Jira,Add issue,Add support for overflow on clip-path,566,APACHE,
52151,Fop - Now in Jira,Add issue,[PATCH] A code-coverage tool for code analysis,52151,APACHE,
575,Ant,Add issue,"Ant1,2's optional tasks does not compile against JUnit 3,5",575,APACHE,
40739,Fop - Now in Jira,Add issue,Add metrics-version attribute to XML font metrics file,40739,APACHE,
41757,Tomcat Connectors,Add issue,JK Apache HowTo documentation doesn't explain the --enable-prefork option of the configure script,41757,APACHE,
50245,Fop - Now in Jira,Add issue,"[PATCH] Upgrade to Java 1,5 - Added type-safe parameters to collections in Fonts",50245,APACHE,
33306,Fop - Now in Jira,Add issue,Updates to Apache XML Graphics Charter,33306,APACHE,
37517,Lenya,Add issue,Document Creation Should Validate and Warn for Special Characters,37517,APACHE,
49065,APR,Add issue,[PATCH] Add support for apr_hash_this_*,49065,APACHE,
40404,Security - Now in JIRA,Add issue,Adding X509 subelements impotent for signing,40404,APACHE,
688,Ant,Add issue,Depend task not in documentation,688,APACHE,
604,Ant,Add issue,Description of VSS label task missing,604,APACHE,
71564,CDT,Add issue,TVT3.0: Missing link in CDT doc 'Debug Tutorial',https://bugs.eclipse.org/bugs/show_bug.cgi?id=71564,ECLIPSE,
103173,CDT,Add issue,Register: user created register groups disappear after debug session restart,https://bugs.eclipse.org/bugs/show_bug.cgi?id=103173,ECLIPSE,
118981,Community,Add issue,Fix bugs in Phoenix css files and add support for greyed-out left nav menu items,https://bugs.eclipse.org/bugs/show_bug.cgi?id=118981,ECLIPSE,
130384,Community,Add issue,"""Top Ten Voted Bugs"" should include RESOLVED/LATER",https://bugs.eclipse.org/bugs/show_bug.cgi?id=130384,ECLIPSE,
109220,Community,Add issue,Add new features to the timeline page,109220,ECLIPSE,
243559,Dali JPA Tools,Add issue,Exchanging entity objects contents when renaming a certain entity,https://bugs.eclipse.org/bugs/show_bug.cgi?id=243559,ECLIPSE,
460657,ECP,Add issue,No Error on Missing View Model in Debug Mode,https://bugs.eclipse.org/bugs/show_bug.cgi?id=460657,ECLIPSE,
268443,Java Server Faces,Add issue,FacesConfig Editor preferences page needs more info for screen readers,https://bugs.eclipse.org/bugs/show_bug.cgi?id=268443,ECLIPSE,
27445,JDT,Add issue,[Dialogs] Dialog font should be used by jdt debug component,https://bugs.eclipse.org/bugs/show_bug.cgi?id=27445,ECLIPSE,
496451,Titan,Add issue,"bugfix: CfgParser support for resolving environment variables, macros and include files",https://bugs.eclipse.org/bugs/show_bug.cgi?id=496451,ECLIPSE,
100059,WPT Website,Add issue,Adding a bug reports page to the Web site,https://bugs.eclipse.org/bugs/show_bug.cgi?id=100059,ECLIPSE,
102835,WTP Java EE Tools,Add issue,Create Wizard servlet,102835,ECLIPSE,
92522,WTP Releng,Add issue,"Download page needs to be updated to remove ""required ws"" section",92522,ECLIPSE,
145412,z_Archived,Add issue,README: Add readme item for Log Import problem on iSeries V4R5 (bugzilla 126792),https://bugs.eclipse.org/bugs/show_bug.cgi?id=145412,ECLIPSE,
183603,z_Archived,Add issue,Debug information should be in your build result.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=183603,ECLIPSE,
214747,z_Archived,Add issue,[Platform Project] Create Bugzilla component for statistical reports.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=214747,ECLIPSE,
312125,z_Archived,Add issue,Profile java application launch should use DebugPlugin.ATTR_CONSOLE_ENCODING,https://bugs.eclipse.org/bugs/show_bug.cgi?id=312125,ECLIPSE,
352582,z_Archived,Add issue,Support line breakpoints in JS debug,https://bugs.eclipse.org/bugs/show_bug.cgi?id=352582,ECLIPSE,
56341,z_Archived,Add issue,M8 Documentation updates on statistical console,56341,ECLIPSE,
56569,z_Archived,Add issue,provide Find and Filter toolbar buttons in UML2SD view,56569,ECLIPSE,
56596,z_Archived,Add issue,provide API for execution occurance to set the start and end time,56596,ECLIPSE,
56664,z_Archived,Add issue,provide support to customize Graph Node and spacing size,56664,ECLIPSE,
56762,z_Archived,Add issue,provide API for graph node stroke color,56762,ECLIPSE,
56763,z_Archived,Add issue,provide API for graph node overlay icon,56763,ECLIPSE,
63039,z_Archived,Add issue,Datapool Evaluator and Iterator extension points should be moved to test.datapool package. Extension point schemas also missing.,63039,ECLIPSE,
63682,z_Archived,Add issue,Need a programmatic way to open the highlighting rectangle from the time compression bar to the interested lifeline,63682,ECLIPSE,
76548,z_Archived,Add issue,Coverage Statistic: Update filter method,76548,ECLIPSE,
87164,z_Archived,Add issue,(MON) Provide range filtering for GLA filter blade,87164,ECLIPSE,
106307,z_Archived,Add issue,Prerequisite of feature / bug 74652,106307,ECLIPSE,
108004,z_Archived,Add issue,Eclispse corner article,108004,ECLIPSE,
108728,z_Archived,Add issue,[Deployment] File transfer service to support ability for command versions,108728,ECLIPSE,
112114,z_Archived,Add issue,[Extensibility] Support for connection in test execution service for IAC and security,112114,ECLIPSE,
113181,z_Archived,Add issue,TPTP Tester Guide::Performance chapter updates,113181,ECLIPSE,
113390,z_Archived,Add issue,Provide a means to configure new AC so that it only launches pre-defined set of aliases,113390,ECLIPSE,
113424,z_Archived,Add issue,"""Extending"" chapter not shipped in driver",113424,ECLIPSE,
54829,z_Archived,Add issue,Extend Filter action is missing in Log Interaction View,54829,ECLIPSE,
54881,z_Archived,Add issue,Correlations are missing in UML2SD Log Interaction view.,54881,ECLIPSE,
54975,z_Archived,Add issue,Migrate all Hyades examples to be NL-enabled.,54975,ECLIPSE,
56387,z_Archived,Add issue,Overview is too small,56387,ECLIPSE,
57108,z_Archived,Add issue,APIs to disable Show Caller/Called Message action,57108,ECLIPSE,
73634,z_Archived,Add issue,Cannot re-edit a class that extends Composite,73634,ECLIPSE,
104131,z_Archived,Add issue,Create Manifest file for GLA plugins,104131,ECLIPSE,
90157,z_Archived,Add issue,New visual class templates should be in respective plugins,90157,ECLIPSE,
90180,z_Archived,Add issue,Need Text Editor for Link Widget,90180,ECLIPSE,
157858,Bugzilla,Add issue,review: Add support for Insiders; Private comments; Private Attachments; Patch for July 12 tip,157858,MOZILLA,
157886,Bugzilla,Add issue,review: Bugzilla should support translated/localized templates; Eighth version: Whitespace fixes; remove ($) prototyping,157886,MOZILLA,
158402,Bugzilla,Add issue,review: Bugzilla Helper should be enter_bug.cgi template; Patch v.8,https://bugzilla.mozilla.org/show_bug.cgi?id=158402,MOZILLA,
158554,Bugzilla,Add issue,review: buglist.cgi shouldn't find all bugs if loaded without parameters; Patch v.1,158554,MOZILLA,
158558,Bugzilla,Add issue,review: if order is the first param to buglist.cgi; can't resort; Patch v.1,158558,MOZILLA,
158561,Bugzilla,Add issue,review: Remove $onebug cruft.; Patch v.1,158561,MOZILLA,
158620,Bugzilla,Add issue,review: Add support for Insiders; Private comments; Private Attachments; Revised patch with timeless's suggestions,158620,MOZILLA,
158974,Bugzilla,Add issue,review: relogin.cgi should use a template; Patch v.2,158974,MOZILLA,
158984,Bugzilla,Add issue,review: confirm_login in CGI.pl should use a template for the login dialog; Patch v.1,158984,MOZILLA,
159601,Bugzilla,Add issue,review: add translation of system messages; Patch v.2,159601,MOZILLA,
159630,Bugzilla,Add issue,review: quips.cgi should require a login to access.; Patch v.1,159630,MOZILLA,
172878,Bugzilla,Add issue,review: Enhancements to generic reporting; Patch v.3,172878,MOZILLA,
173943,Bugzilla,Add issue,review: Component/Product IDs mean you can't do change queries on component/product; v2,173943,MOZILLA,
174810,Bugzilla,Add issue,review: you should be able to enter bug dependencies/blockers when you enter a bug.; Patch v.1,174810,MOZILLA,
175135,Bugzilla,Add issue,review: Disallow novice users (without bugzilla account) from use of Advanced Entry form; Patch v.1,175135,MOZILLA,
178146,Bugzilla,Add issue,review: Real name capability on bug_list.cgi.; Patch against HEAD,178146,MOZILLA,
178300,Bugzilla,Add issue,"review: Default comments search box type to ""contains string""; Patch v.1",178300,MOZILLA,
178969,Bugzilla,Add issue,review: make request tracker use generic user matching code; patch v3: review fixes,178969,MOZILLA,
178986,Bugzilla,Add issue,review: make request tracker use generic user matching code; patch v4: very minor updates,178986,MOZILLA,
159438,Bugzilla,Add issue,review: Abstract out GenerateSQL into perl module; Patch v.1,159438,MOZILLA,
162293,Bugzilla,Add issue,review: Add support for Insiders; Private comments; Private Attachments; Patch updated to current HEAD,162293,MOZILLA,
162795,Bugzilla,Add issue,review: param to disable adding new quips; Add param to restrict entry of quips,162795,MOZILLA,
162848,Bugzilla,Add issue,review: param to disable adding new quips; Revised patch keeps total number of params constant,162848,MOZILLA,
2544,Core,Add issue,[IME]Chinese character composition not work with Korean input,2544,MOZILLA,
6278,Core,Add issue,(feature) List properties needs to be implemented,6278,MOZILLA,
17071,Core,Add issue,insert source dialog fixes,17071,MOZILLA,
81467,Core,Add issue,Update site-policies documentation,81467,MOZILLA,
102252,Core,Add issue,Add CS Styles for Ethiopian/Eritrean Languages,102252,MOZILLA,
2588,Core Graveyard,Add issue,Suggested additions to the menu of the test bed viewer,2588,MOZILLA,
10912,Core Graveyard,Add issue,Document->createTextNode() API dumps core,10912,MOZILLA,
10918,Core Graveyard,Add issue,Document->createFragment Java DOM API dumps core,10918,MOZILLA,
10920,Core Graveyard,Add issue,Document->createComment API call dumps core,10920,MOZILLA,
10922,Core Graveyard,Add issue,Document createProcessingInstruction method dumps core,10922,MOZILLA,
13867,Graveyard,Add issue,need managed tools/software infrastructure,13867,MOZILLA,
151401,Mozilla,Add issue,Request for SSH account to be able to upload files to ftp.mozilla.org,151401,MOZILLA,
17016,SeaMonkey,Add issue,QA Reminder: Test IMAP server prefs migration with UI,17016,MOZILLA,
17466,SeaMonkey,Add issue,QA reminder: retest migration addr prefs after UI fix,17466,MOZILLA,
151388,SeaMonkey,Add issue,To add a new compile switch to distinguish Windows and ATK code,151388,MOZILLA,
60209,SeaMonkey,Add issue,OS/2 - Create Desktop folder REXX script.,60209,MOZILLA,
21775,Core,Add issue,nsMultiMixedConverter needs to add nsIStreamObserver to it's QI method,21775,MOZILLA,
23543,Core,Add issue,Port nsFileChannel to use nsIFile,23543,MOZILLA,
35505,Core,Add issue,negotiate webshell ownership model,35505,MOZILLA,
1816,Taglibs,Add issue,errors in your documentation;,1816,APACHE,
41115,Lenya,Add issue,"Link to resource uses ,html extension",41115,APACHE,
100070,WTP Java EE Tools,Add issue,EARFileImpl.saveAsNoReopen does not include application.xml,100070,ECLIPSE,
103333,WTP Java EE Tools,Add issue,Need enablement of the j2ee extension for its own custom extensions in navigator,103333,ECLIPSE,
92229,z_Archived,Add issue,Generate HTML test reports,92229,ECLIPSE,
99823,z_Archived,Add issue,AC doesn't report observer/controller status to agents,99823,ECLIPSE,
99826,z_Archived,Add issue,Agent Controller doesn't shutdown agents,99826,ECLIPSE,
100005,z_Archived,Add issue,Accessibility: Cannot set focus to testcase invocation using keyboard only,100005,ECLIPSE,
45755,Fop - Now in Jira,Configuration issue,fop's configuration file is distributed under Apache License,45755,APACHE ,188
235,Tomcat 3,Configuration issue,"Apache; mod_jk + APJ13 problems with RequestDispatcher,forward() BugRat Report#373",235,APACHE ,
38424,BCEL - Now in Jira,Configuration issue,"LineNumberTable toString method uses jdk 1,4 StringBuffer append(StringBuffer) method,",38424,APACHE ,
48029,APR,Configuration issue,"httpd-2,2,14 hangs in port_getn",48029,APACHE ,
33824,"Apache httpd-1,3",Configuration issue,binding to an invalid ip address in Linux,33824,APACHE ,
45146,Fop - Now in Jira,Configuration issue,"duplicate license,txt constrains ClassLoader",45146,APACHE ,
33117,Tomcat 5,Configuration issue,"Deep link into Bugzilla broken on ROOT/index,jsp",33117,APACHE ,
